id,source_label,floor_number,mid,text,original_pic,disable_reply,user_location,follow_count,followers_count,created_at,created_at_ts
2130183,抑郁症超话,0,4.7856E+15,抑郁症: 简直是最噩梦的一次睡眠，吃了酒石酸和喹硫平两个安眠药，给我的躁狂镇住了两个小时。躺在床上时候，明明昏昏沉沉困的要死，但大脑又清醒得很，像是被死死地按在床上。两个小时以后彻底清醒了，等于又是一天通宵。 ,,0,,3,1,Wed Jun 29 07:18:33 +0800 2022,1656458313
2130184,焦虑症超话,0,4.78561E+15,焦虑症:  咱就是说，那种很奇怪的失重感，类似乘轮船的感觉，属于什么是心慌还是头晕 ,,0,,55,14,Wed Jun 29 08:30:43 +0800 2022,1656462643
2130185,焦虑症超话,0,4.78561E+15,焦虑症: 有没有知道的友友们，我越看心理医生越难受，越做心理辅导越想不开，而且我是轻度，年龄还小，所以医生只建议我吃中药，好的特慢！但是难受的时候挺不住 ,,0,,45,10,Wed Jun 29 08:29:45 +0800 2022,1656462585
2130186,焦虑症超话,0,4.78561E+15,焦虑症:  友友们 拔智齿要做哪些检查 血常规 凝血功能 ？脑部要做检查吗 拔智齿大概多久可以恢复 ,,0,,73,103,Wed Jun 29 08:20:13 +0800 2022,1656462013
2130187,焦虑症超话,0,4.78561E+15,焦虑症: 从昨天开始一直感觉心跳很重 昨晚去查了心电图 医生说正常 但今天还是心跳很重 是不是应该再去做一个动态的啊 ,,0,,659,190,Wed Jun 29 08:13:08 +0800 2022,1656461588
2130188,焦虑症超话,0,4.78561E+15,焦虑症: 我是怕死怕病怕家人生病，每天感觉有手狠狠的攥着我的心脏，喘不过气来。 ,,0,,25,3,Wed Jun 29 08:04:26 +0800 2022,1656461066
2130189,抑郁症超话,0,4.78561E+15,抑郁症: 有点点点点点点点点难过 ,,0,,1048,642,Wed Jun 29 08:09:36 +0800 2022,1656461376
2130190,抑郁症超话,0,4.78561E+15,抑郁症: 家里面事情有点多好无力。最近弟弟又开始偷钱，来来回回偷了有5000了，之前一次性拿了7000把我妈气够呛教育问题非要让我也掺一脚，问题是我也才刚毕业我能有啥办法 ,,0,,34,5,Wed Jun 29 08:08:27 +0800 2022,1656461307
2130191,抑郁症超话,0,4.78561E+15,抑郁症: 中度加社恐怎么自救 ,,0,,9,34,Wed Jun 29 08:08:22 +0800 2022,1656461302
2130192,抑郁症超话,0,4.78561E+15,这一身伤痕，是与天命所授之卑微抗争留下的印记。抑郁症:  钦州·白石湖景区 ,,0,,95,337,Wed Jun 29 08:06:52 +0800 2022,1656461212
2130193,双相情感障碍超话,0,4.78561E+15,双相情感障碍: 现在已经没有“舍不得睡觉”于是深夜紧紧抓住状态良好的时间段来享受一切都好，睡眠也好，状态也好，每天的正常生活也好，蛮舒心的说是不想睡觉，其实很快就睡了，质量也不错嘿嘿马上放暑假了，就是有丢丢愁考试，不过只剩下两门了，希望可以一切顺利！ ,,0,,786,158,Wed Jun 29 08:16:59 +0800 2022,1656461819
2130194,抑郁超话,0,4.78562E+15,为什么别人可以那么坚强，我却这么脆弱！？ ,,0,,61,11,Wed Jun 29 08:53:12 +0800 2022,1656463992
2130195,焦虑症超话,0,4.78562E+15,忘记了从什么时候开始，就没有了心安和快乐焦虑不是一天养成是一整个过程，可能在一瞬间出现然后不断的累积累积几个月到几年然后整个人会身心疲惫，精神涣散，恶性循环焦虑症:  ,,0,,200,265,Wed Jun 29 08:51:50 +0800 2022,1656463910
2130196,焦虑症超话,0,4.78562E+15,焦虑症:  枸橼酸坦度胶囊一天就吃两粒得多久起效 ,,0,,135,5,Wed Jun 29 08:48:06 +0800 2022,1656463686
2130197,焦虑症超话,0,4.78562E+15,焦虑症: 大家身边有得焦虑症抑郁症的朋友嘛？为啥感觉别人都是正常的不行啊好像只有自己在生病 ,,0,,61,1,Wed Jun 29 08:36:34 +0800 2022,1656462994
2130198,抑郁症超话,0,4.78562E+15,抑郁症: 下午一点的车早上六点就开始有人打电话催我 我妈让我十点就去等 一宿没睡好觉因为猫一直在钻我被子 毛绒绒的特别痒 动一下就挠我一爪子 我感觉我现在随时都要跳楼 头巨痛 怎么都一点都不考虑别人的感受啊 我活该被你们这样对待是吗 ,,0,,11,25,Wed Jun 29 08:54:43 +0800 2022,1656464083
2130199,抑郁症超话,0,4.78562E+15,抑郁症: 抑郁症下雨啦，不知道大家有没有一种感受，小时候特别怕黑，就连睡觉都一定要开着灯。但是长大后就突然不怕了，甚至还特别讨厌灯光。 ,https://wx3.sinaimg.cn/large/006TEU0Uly1h3otuonn7sj32bc334kjl.jpg,0,,130,25,Wed Jun 29 08:54:05 +0800 2022,1656464045
2130200,抑郁症超话,0,4.78562E+15,抑郁症: 取到号啦愿时隔一年的复诊，一切顺利 ,https://wx2.sinaimg.cn/large/007VufEZly1h3otpted5mj30u0140gq7.jpg,0,,175,9,Wed Jun 29 08:52:08 +0800 2022,1656463928
